Datum / Uhrzeit,Netzbezug [W],Netzeinspeisung [W],Erzeugung [W],Speicher Beladung [W],Speicher Entladung [W],Verbrauch [W],Ladezustand [%]
02.01.2023 01:15:00 +0200,2888,0,0,25,0,2863,10
02.01.2023 01:30:00 +0200,3242,0,0,25,0,3220,10
02.01.2023 01:45:00 +0200,3238,0,0,25,0,3215,10
02.01.2023 02:00:00 +0200,2871,0,0,25,0,2841,10
02.01.2023 02:15:00 +0200,3316,0,0,24,0,3292,10
02.01.2023 02:30:00 +0200,2670,0,0,25,0,2647,10
02.01.2023 02:45:00 +0200,3376,0,0,25,0,3352,10
02.01.2023 03:00:00 +0200,864,0,0,28,0,818,10
02.01.2023 03:15:00 +0200,1051,0,0,31,0,1024,10
02.01.2023 03:30:00 +0200,531,0,0,31,0,501,10
02.01.2023 03:45:00 +0200,1016,0,0,31,0,986,10
02.01.2023 04:00:00 +0200,626,0,0,31,0,592,10
02.01.2023 04:15:00 +0200,954,0,0,31,0,920,10
02.01.2023 04:30:00 +0200,779,0,0,32,0,742,10
02.01.2023 04:45:00 +0200,787,0,0,32,0,757,10
02.01.2023 05:00:00 +0200,982,0,0,31,0,946,10
02.01.2023 05:15:00 +0200,771,0,0,31,0,741,10
02.01.2023 05:30:00 +0200,1538,0,0,32,0,1507,10
02.01.2023 05:45:00 +0200,1155,0,0,31,0,1126,10
02.01.2023 06:00:00 +0200,507,0,0,31,0,476,10
02.01.2023 06:15:00 +0200,948,0,0,31,0,918,10
02.01.2023 06:30:00 +0200,517,0,0,31,0,486,10
02.01.2023 06:45:00 +0200,985,0,0,32,0,955,10
02.01.2023 07:00:00 +0200,685,0,0,31,0,652,10
02.01.2023 07:15:00 +0200,1262,0,0,31,0,1234,10
02.01.2023 07:30:00 +0200,864,0,0,31,0,838,10
02.01.2023 07:45:00 +0200,1210,0,0,30,0,1180,10
02.01.2023 08:00:00 +0200,1262,0,0,30,0,1232,10
02.01.2023 08:15:00 +0200,1344,0,0,31,0,1313,10
02.01.2023 08:30:00 +0200,1459,0,0,31,0,1427,10
02.01.2023 08:45:00 +0200,1535,0,0,31,0,1505,10
02.01.2023 09:00:00 +0200,1499,0,0,31,0,1468,10
02.01.2023 09:15:00 +0200,615,0,0,31,0,582,10
02.01.2023 09:30:00 +0200,911,0,2,31,0,882,10
02.01.2023 09:45:00 +0200,705,0,8,31,0,682,10
02.01.2023 10:00:00 +0200,724,0,18,31,0,712,10
02.01.2023 10:15:00 +0200,908,0,35,32,0,910,10
02.01.2023 10:30:00 +0200,496,0,57,32,0,523,10
02.01.2023 10:45:00 +0200,759,0,96,32,0,814,10
02.01.2023 11:00:00 +0200,734,0,127,32,0,828,10
02.01.2023 11:15:00 +0200,391,0,100,32,0,455,10
02.01.2023 11:30:00 +0200,683,0,144,35,0,791,10
02.01.2023 11:45:00 +0200,292,0,265,42,0,517,10
02.01.2023 12:00:00 +0200,305,0,225,35,0,496,10
02.01.2023 12:15:00 +0200,652,0,175,35,0,787,10
02.01.2023 12:30:00 +0200,445,0,139,35,0,549,10
02.01.2023 12:45:00 +0200,492,0,213,35,0,671,10
02.01.2023 13:00:00 +0200,698,0,158,35,0,813,10
02.01.2023 13:15:00 +0200,130,0,358,120,0,360,10
02.01.2023 13:30:00 +0200,540,0,293,32,0,800,10
02.01.2023 13:45:00 +0200,529,0,200,27,0,702,10
02.01.2023 14:00:00 +0200,897,0,193,26,0,1063,10
02.01.2023 14:15:00 +0200,786,0,114,26,0,878,10
02.01.2023 14:30:00 +0200,533,0,224,26,0,733,10
02.01.2023 14:45:00 +0200,1078,0,123,26,0,1175,10
02.01.2023 15:00:00 +0200,1287,0,143,26,0,1403,10
02.01.2023 15:15:00 +0200,703,0,200,26,0,867,10
02.01.2023 15:30:00 +0200,588,0,123,26,0,683,10
02.01.2023 15:45:00 +0200,892,0,142,26,0,1006,10
02.01.2023 16:00:00 +0200,425,0,41,26,0,439,10
02.01.2023 16:15:00 +0200,997,0,38,27,0,1011,10
02.01.2023 16:30:00 +0200,1074,0,36,28,0,1082,10
02.01.2023 16:45:00 +0200,493,0,28,31,0,490,10
02.01.2023 17:00:00 +0200,1188,0,9,31,0,1170,10
02.01.2023 17:15:00 +0200,852,0,1,30,0,820,10
02.01.2023 17:30:00 +0200,1008,0,0,30,0,979,10
02.01.2023 17:45:00 +0200,1228,0,0,31,0,1197,10
02.01.2023 18:00:00 +0200,772,0,0,30,0,743,10
02.01.2023 18:15:00 +0200,1239,0,0,30,0,1208,10
02.01.2023 18:30:00 +0200,1118,0,0,30,0,1090,10
02.01.2023 18:45:00 +0200,1027,0,0,29,0,993,10
02.01.2023 19:00:00 +0200,1015,0,0,30,0,982,10
02.01.2023 19:15:00 +0200,858,0,0,29,0,824,10
02.01.2023 19:30:00 +0200,1374,0,0,29,0,1346,10
02.01.2023 19:45:00 +0200,1376,0,0,30,0,1345,10
02.01.2023 20:00:00 +0200,1461,0,0,30,0,1431,10
02.01.2023 20:15:00 +0200,1599,0,0,29,0,1570,10
02.01.2023 20:30:00 +0200,1678,0,0,29,0,1649,10
02.01.2023 20:45:00 +0200,1729,0,0,29,0,1699,10
02.01.2023 21:00:00 +0200,1438,0,0,29,0,1403,10
02.01.2023 21:15:00 +0200,946,0,0,29,0,919,10
02.01.2023 21:30:00 +0200,1148,0,0,29,0,1120,10
02.01.2023 21:45:00 +0200,980,0,0,29,0,950,10
02.01.2023 22:00:00 +0200,1428,0,0,29,0,1383,10
02.01.2023 22:15:00 +0200,1139,0,0,29,0,1108,10
02.01.2023 22:30:00 +0200,1759,0,0,30,0,1721,10
02.01.2023 22:45:00 +0200,2199,0,0,28,0,2174,10
02.01.2023 23:00:00 +0200,777,0,0,29,0,750,10
02.01.2023 23:15:00 +0200,1081,0,0,28,0,1052,10
02.01.2023 23:30:00 +0200,1742,0,0,29,0,1700,10
02.01.2023 23:45:00 +0200,625,0,0,29,0,598,10
03.01.2023 00:00:00 +0200,3156,0,0,28,0,3128,10
03.01.2023 00:15:00 +0200,2861,0,0,28,0,2831,10
03.01.2023 00:30:00 +0200,3124,0,0,29,0,3097,10
03.01.2023 00:45:00 +0200,3320,0,0,29,0,3291,10
03.01.2023 01:00:00 +0200,3180,0,0,29,0,3147,10
03.01.2023 01:15:00 +0200,2887,0,0,29,0,2861,10
03.01.2023 01:30:00 +0200,3377,0,0,29,0,3348,10
03.01.2023 01:45:00 +0200,3653,0,0,29,0,3624,10
03.01.2023 02:00:00 +0200,3573,0,0,29,0,3544,10
03.01.2023 02:15:00 +0200,2860,0,0,29,0,2828,10
03.01.2023 02:30:00 +0200,3353,0,0,29,0,3324,10
03.01.2023 02:45:00 +0200,3286,0,0,29,0,3257,10
03.01.2023 03:00:00 +0200,1258,0,0,29,0,1233,10
03.01.2023 03:15:00 +0200,789,0,0,30,0,760,10
03.01.2023 03:30:00 +0200,757,0,0,29,0,730,10
03.01.2023 03:45:00 +0200,1159,0,0,29,0,1130,10
03.01.2023 04:00:00 +0200,1199,0,0,28,0,1168,10
03.01.2023 04:15:00 +0200,1158,0,0,28,0,1129,10
03.01.2023 04:30:00 +0200,843,0,0,29,0,818,10
03.01.2023 04:45:00 +0200,759,0,0,29,0,724,10
03.01.2023 05:00:00 +0200,1170,0,0,29,0,1141,10
03.01.2023 05:15:00 +0200,1188,0,0,28,0,1160,10
03.01.2023 05:30:00 +0200,1263,0,0,29,0,1234,10
03.01.2023 05:45:00 +0200,1255,0,0,29,0,1225,10
03.01.2023 06:00:00 +0200,1248,0,0,29,0,1219,10
03.01.2023 06:15:00 +0200,1198,0,0,29,0,1170,10
03.01.2023 06:30:00 +0200,1131,0,0,29,0,1102,10
03.01.2023 06:45:00 +0200,1128,0,0,28,0,1100,10
03.01.2023 07:00:00 +0200,1145,0,0,29,0,1116,10
03.01.2023 07:15:00 +0200,1251,0,0,29,0,1221,10
03.01.2023 07:30:00 +0200,1375,0,0,28,0,1345,10
03.01.2023 07:45:00 +0200,1474,0,0,28,0,1445,10
03.01.2023 08:00:00 +0200,1163,0,0,29,0,1136,10
03.01.2023 08:15:00 +0200,776,0,0,29,0,748,10
